"filename", "language", "TypeScript", "Markdown", "TypeScript JSX", "PostCSS", "JavaScript", "JSON with Comments", "Shell Script", "JSON", "comment", "blank", "total"
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/ImageUploadSection.tsx", "TypeScript JSX", 0, 0, 91, 0, 0, 0, 0, 0, 1, 3, 95
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/PollOptionsSection.tsx", "TypeScript JSX", 0, 0, 53, 0, 0, 0, 0, 0, 0, 3, 56
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/PollSettingsSection.tsx", "TypeScript JSX", 0, 0, 138, 0, 0, 0, 0, 0, 0, 9, 147
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/SchedulingSection.tsx", "TypeScript JSX", 0, 0, 64, 0, 0, 0, 0, 0, 0, 5, 69
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/VotingSettingsSection.tsx", "TypeScript JSX", 0, 0, 368, 0, 0, 0, 0, 0, 0, 19, 387
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/form-builder/form-builder-constants.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 4, 93
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/types.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/announcements/announcement-modal.tsx", "TypeScript JSX", 0, 0, 144, 0, 0, 0, 0, 0, 2, 9, 155
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/auth/auth-shell.tsx", "TypeScript JSX", 0, 0, 78, 0, 0, 0, 0, 0, 0, 6, 84
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/boost/paypal-checkout.tsx", "TypeScript JSX", 0, 0, 498, 0, 0, 0, 0, 0, 2, 32, 532
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/forms/form-modal.tsx", "TypeScript JSX", 0, 0, 1089, 0, 0, 0, 0, 0, 2, 50, 1141
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/forms/form-submissions-modal.tsx", "TypeScript JSX", 0, 0, 460, 0, 0, 0, 0, 0, 0, 22, 482
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/fundraiser/fundraiser-modal.tsx", "TypeScript JSX", 0, 0, 669, 0, 0, 0, 0, 0, 2, 33, 704
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/giveaway/giveaway-modal.tsx", "TypeScript JSX", 0, 0, 768, 0, 0, 0, 0, 0, 2, 38, 808
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/header/assignment-modal.tsx", "TypeScript JSX", 0, 0, 193, 0, 0, 0, 0, 0, 0, 12, 205
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/header/header-actions.tsx", "TypeScript JSX", 0, 0, 418, 0, 0, 0, 0, 0, 0, 30, 448
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/header/header-button.tsx", "TypeScript JSX", 0, 0, 45, 0, 0, 0, 0, 0, 0, 3, 48
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/header/hosthub-subheader.tsx", "TypeScript JSX", 0, 0, 155, 0, 0, 0, 0, 0, 1, 9, 165
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/header/morale-subheader.tsx", "TypeScript JSX", 0, 0, 155, 0, 0, 0, 0, 0, 1, 8, 164
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/header/user-assignment-menu.tsx", "TypeScript JSX", 0, 0, 69, 0, 0, 0, 0, 0, 0, 4, 73
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/landing/landing-background-toggle.tsx", "TypeScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 0, 8, 62
"/Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/landing/missing-assignments-warning.tsx", "TypeScript JSX", 0, 0, 86, 0, 0, 0, 0, 0, 0, 13, 99
