Date : 2026-01-29 23:56:07
Directory : /Users/bespin-starter/Documents/personal_projects/BesPick
Total : 150 files,  40002 codes, 34 comments, 2553 blanks, all 42589 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/api/hosthub/demo-day-history/route.ts                                          | TypeScript         |         47 |          0 |          6 |         53 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/api/paypal/capture-order/route.ts                                              | TypeScript         |         52 |          0 |          7 |         59 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/api/paypal/create-order/route.ts                                               | TypeScript         |         87 |          0 |         12 |         99 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/api/rpc/route.ts                                                               | TypeScript         |         37 |          0 |          3 |         40 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/api/storage/image/[id]/route.ts                                                | TypeScript         |         44 |          0 |          4 |         48 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/api/storage/upload/route.ts                                                    | TypeScript         |         30 |          0 |          2 |         32 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/api/stream/route.ts                                                            | TypeScript         |         82 |          1 |          9 |         92 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/domain-restricted/page.tsx                                                     | TypeScript JSX     |         28 |          0 |          4 |         32 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/globals.css                                                                    | PostCSS            |        163 |          0 |         17 |        180 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/layout.tsx                                                                     | TypeScript JSX     |        120 |          0 |          5 |        125 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/sign-in/[[...sign-in]]/page.tsx                                                | TypeScript JSX     |         27 |          0 |          4 |         31 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/sign-up/[[...sign-up]]/page.tsx                                                | TypeScript JSX     |         27 |          0 |          4 |         31 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/activity-form-tabs.tsx                                            | TypeScript JSX     |        121 |          0 |         10 |        131 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form.tsx                                             | TypeScript JSX     |      2,370 |          1 |        162 |      2,533 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/constants.ts                                    | TypeScript         |         67 |          0 |          6 |         73 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/AutomationSection.tsx                  | TypeScript JSX     |        176 |          0 |         10 |        186 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/components/admin/announcement-form/sections/FormBuilderSection.tsx                 | TypeScript JSX     |      1,009 |          0 |         36 |      1,045 |
